"","algorithm","type","enc_mode","filesize","time_allocation","time_algorithm","time_ioops","time_elapsed"
"1","AES","GPU","ECB",0.52,0.067322,0.017719,0.002997,0.088039
"2","AES","GPU","ECB",0.52,0.056314,0.017523,0.002945,0.076782
"3","AES","GPU","ECB",0.52,0.056964,0.017579,0.003658,0.0782
"4","AES","GPU","ECB",12.91,1.727691,0.429775,0.0176,2.175066
"5","AES","GPU","ECB",12.91,0.259287,1.568685,0.017034,1.845006
"6","AES","GPU","ECB",12.91,0.2617,1.569192,0.018697,1.849588
"7","AES","GPU","ECB",32.16,0.611414,1.071009,0.049225,1.731648
"8","AES","GPU","ECB",32.16,1.383857,1.069988,0.046183,2.500028
"9","AES","GPU","ECB",32.16,1.409759,1.07263,0.050168,2.532557
"10","AES","GPU","ECB",40.85,0.727977,2.638137,0.063632,3.429746
"11","AES","GPU","ECB",40.85,1.299402,1.359631,1.936298,4.595331
"12","AES","GPU","ECB",40.85,1.243656,1.359731,0.065287,2.668674
"13","AES","SEQ","ECB",0.52,0.01267,0.142719,0.00293,0.158318
"21","AES","SEQ","ECB",0.52,0.010421,1.844235,0.101248,1.955903
"31","AES","SEQ","ECB",0.52,0.01102,1.847303,0.096003,1.954326
"41","AES","SEQ","ECB",12.91,0.208074,4.495738,0.015648,4.719459
"51","AES","SEQ","ECB",12.91,0.229806,4.238307,0.016047,4.48416
"61","AES","SEQ","ECB",12.91,0.216818,4.184695,0.016526,4.418039
"71","AES","SEQ","ECB",32.16,0.491223,10.642804,0.047053,11.181079
"81","AES","SEQ","ECB",32.16,0.549344,10.678003,0.046713,11.27406
"91","AES","SEQ","ECB",32.16,0.532951,10.512782,0.047443,11.093175
"101","AES","SEQ","ECB",40.85,0.668374,12.179403,0.059693,12.90747
"111","AES","SEQ","ECB",40.85,0.704489,12.074625,0.061327,12.840441
"121","AES","SEQ","ECB",40.85,0.66799,12.079018,0.063598,12.810605
