"","algorithm","type","filesize","time_allocation","time_algorithm","time_ioops","time_elapsed"
"1","DES","GPU",0.52,0.057186,0.144108,0.003516,0.20481
"2","DES","GPU",0.52,0.057405,0.143073,0.003344,0.203822
"3","DES","GPU",0.52,0.060432,0.14296,0.003819,0.207212
"4","DES","GPU",12.91,1.714842,3.547656,0.033141,5.295638
"5","DES","GPU",12.91,1.72231,3.547402,0.030061,5.299772
"6","DES","GPU",12.91,1.726628,3.54747,0.031736,5.305835
"11","DES","SEQ",0.52,0.013306,1.30877,0.000873,1.32295
"21","DES","SEQ",0.52,0.012043,1.298358,0.003033,1.313433
"31","DES","SEQ",0.52,0.009305,1.258215,0.003329,1.270849
"41","DES","SEQ",12.91,0.210953,17.245974,0.016828,17.473754
"51","DES","SEQ",12.91,0.209622,19.420123,0.018177,19.647923
"61","DES","SEQ",12.91,0.24138,18.364145,0.017778,18.623304
