"","algorithm","type","filesize","media_time_elapsed","desv_pad_time_elapsed","media_time_allocation","desv_pad_time_allocation","media_time_algorithm","desv_pad_time_algorithm","media_time_ioops","desv_pad_time_ioops"
"1","DES","GPU",0.52,1.0127258,0.853331333812866,0.4844522,0.724551017476156,0.524558,0.667843195974757,0.0037157,7.29932264741813e-05
"2","DES","GPU",0.81,1.5583669,0.860943106221757,0.4867341,0.721352936662838,0.5929334,0.572692500303455,0.4786994,0.732382834918278
"3","DES","GPU",1.28,1.5932573,0.570658037018484,0.491059,0.716333914461219,1.0983268,0.50897054016794,0.0038715,2.54700259564498e-05
"4","DES","GPU",1.58,1.4786677,0.467098556292412,0.3246252,0.533016399372644,1.1495121,0.360233817622959,0.0045306,1.69325459134507e-05
"5","DES","GPU",4.45,2.6741958,0.472072138669222,0.5187189,0.677064780767764,2.143932,0.204974227081791,0.0115448,0.000402081196885516
"6","DES","GPU",8.9,4.7753475,0.611704335706984,0.5586793,0.620961284234202,3.9989353,0.51048443761676,0.2177328,0.618211655298626
"7","DES","GPU",12.91,6.2375798,0.808435368421386,0.7311705,0.652969703418203,5.475609,0.735025793429198,0.0308001,0.000304615039389427
"8","DES","GPU",32.16,14.4434508,0.692929172808335,0.9990895,0.410830938113978,13.1819317,0.14592343230997,0.2624298,0.583094267550244
"9","DES","GPU",40.85,17.9117504,0.545820381739309,1.1526092,0.217453497402599,16.5292483,0.656577314177436,0.2298931,0.402153446356114
"10","DES","SEQ",0.52,1.1469744,0.345107994782374,0.0076981,0.000202523222262425,1.136688,0.345033080062059,0.0025881,0.000110521440856012
"11","DES","SEQ",0.81,1.0482076,0.0415248675887915,0.0140175,0.00621625534385453,1.0246221,0.0400347924614745,0.0095683,7.25580993258356e-05
"12","DES","SEQ",1.28,2.0705574,0.401213278272348,0.0186204,0.000220876637263629,2.0502991,0.401165635076488,0.0016377,2.77490740586261e-05
"13","DES","SEQ",1.58,2.2572806,0.584269876390887,0.2184433,0.617922315643507,2.0367127,0.0372851986213475,0.0021245,4.78661327732528e-05
"14","DES","SEQ",4.45,6.2924023,0.604571999973177,0.2512953,0.591857817824527,6.0356512,0.503770455021553,0.0054557,0.000115993342720846
"15","DES","SEQ",8.9,11.8642535,1.22460524796435,0.4765565,0.735895505520881,11.1785813,0.449765349862953,0.2091157,0.625328198592467
"16","DES","SEQ",12.91,16.4531203,0.447890902317381,0.3473752,0.516068995253068,16.091164,0.0823414156154455,0.0145812,0.000212296857149501
"17","DES","SEQ",32.16,41.4913468,0.883110567118398,0.8915595,0.559640362711477,40.3689286,1.01823747998056,0.2308591,0.608129713941296
"18","DES","SEQ",40.85,52.1436748,0.889483600363193,1.2508746,0.351911119174272,50.695104,0.825491839136457,0.1976961,0.396882264449757
