"","algorithm","type","filesize","time_allocation","time_algorithm","time_ioops","time_elapsed"
"1","ROT-13","GPU",0.81,1.857537,0.00253,0.002738,1.862804
"2","ROT-13","GPU",0.81,0.147134,0.002502,0.002795,0.15243
"3","ROT-13","GPU",0.81,0.141923,0.002497,0.00283,0.147251
"4","ROT-13","GPU",0.81,0.144821,0.002544,0.002803,0.150168
"5","ROT-13","GPU",0.81,0.142324,0.00248,0.002737,0.147541
"6","ROT-13","GPU",0.81,0.143109,0.002488,0.002736,0.148334
"7","ROT-13","GPU",0.81,0.145724,0.002525,0.002771,0.15102
"8","ROT-13","GPU",0.81,0.144249,0.0025,0.002892,0.149642
"9","ROT-13","GPU",0.81,1.854212,0.002546,0.002944,1.859702
"10","ROT-13","GPU",0.81,0.143604,0.002489,0.002743,0.148836
"11","ROT-13","GPU",0.81,0.383557,0.002615,0.003652,0.389824
"12","ROT-13","GPU",0.81,0.14337,0.00248,0.002747,0.148597
"13","ROT-13","GPU",0.81,0.143755,0.002534,0.002645,0.148933
"14","ROT-13","GPU",0.81,0.144915,0.002536,0.002709,0.150159
"15","ROT-13","GPU",0.81,1.856781,0.002466,0.002827,1.862074
"16","ROT-13","GPU",0.81,0.144459,0.002483,0.002765,0.149707
"17","ROT-13","GPU",0.81,0.142963,0.002504,0.002674,0.148141
"18","ROT-13","GPU",0.81,0.147884,0.002472,0.002749,0.153105
"19","ROT-13","GPU",0.81,0.142629,0.00247,0.002681,0.14778
"20","ROT-13","GPU",0.81,0.146929,0.002472,0.002698,0.152099
"21","ROT-13","GPU",1.28,0.151088,0.003751,0.001371,0.15621
"22","ROT-13","GPU",1.28,0.154863,0.003843,0.001401,0.160106
"23","ROT-13","GPU",1.28,0.150311,0.003735,0.001493,0.155539
"24","ROT-13","GPU",1.28,0.15191,0.003755,0.001404,0.157069
"25","ROT-13","GPU",1.28,0.152102,0.003719,0.001364,0.157184
"26","ROT-13","GPU",1.28,0.14817,0.003745,0.001398,0.153313
"27","ROT-13","GPU",1.28,1.846084,0.003821,0.001382,1.851286
