"","algorithm","type","filesize","media_time_elapsed","desv_pad_time_elapsed","media_time_allocation","desv_pad_time_allocation","media_time_algorithm","desv_pad_time_algorithm","media_time_ioops","desv_pad_time_ioops"
"1","ROT-13","GPU",0.81,0.41840735,0.624276076661623,0.41309395,0.624240974687827,0.00250665,3.65459696100246e-05,0.0028068,0.000211662989331228
"2","ROT-13","GPU",1.28,0.24112135,0.378996176041294,0.23598615,0.378980358814943,0.00374235,4.64795087844322e-05,0.001393,4.54092501589709e-05
"3","ROT-13","GPU",1.58,0.4998404,0.693288635976342,0.49357875,0.693307275483691,0.00442765,8.79792290079999e-05,0.00183405,8.5018558345563e-05
"4","ROT-13","GPU",4.45,0.613977,0.711201355796544,0.59930795,0.7111837458633,0.0099946,0.000104953824433214,0.0046746,0.000155860058689636
"5","ROT-13","GPU",8.9,0.73824185,0.688891592650509,0.70994825,0.688690048952042,0.01879575,0.000245035094156778,0.00949795,0.000608320593714237
"6","ROT-13","SEQ",0.81,0.26077735,0.604000491072759,0.2090994,0.604958265993214,0.02484305,0.00520488836499932,0.02683475,0.0137088706850902
"7","ROT-13","SEQ",1.28,0.1526851,0.413761468410293,0.0202563,0.00204363342835101,0.03834525,0.00168813422000054,0.09408345,0.414356006215285
"8","ROT-13","SEQ",1.58,0.3606678,0.705135367404362,0.21650285,0.5947348863559,0.14230975,0.426246402578538,0.0018552,0.000110942659442662
"9","ROT-13","SEQ",4.45,0.4643288,0.671950250903694,0.2525171,0.575809188048839,0.20722695,0.394159803584319,0.0045847,0.000136229720847197
"10","ROT-13","SEQ",8.9,0.94393815,0.793509346815993,0.3924181,0.638527833501069,0.54204455,0.626479092861423,0.0094758,0.000538223354145255
